Order Date, Region ,Product Category,Units Sold,Revenue (USD),Discount %,Customer Rating,Notes
2024-02-14, North ,Grocery,20.0,"$3,275.99",0.034,3.8,
2024-02-15, South ,Grocery,20.0,"$2,348.20",0.157,3.8,
2024-02-16, East ,Furniture,2.0,"$1,023.27",0.006,4.1,
2024-02-17, West ,Grocery,6.0,$598.50,0.17,,
2024-02-18, North ,Furniture,15.0,"$9,747.05",0.203,4.0,
2024-02-19, South ,Furniture,8.0,"$4,795.37",0.162,4.7,
2024-02-20, East ,Furniture,16.0,"$10,526.55",0.057,4.6,
2024-02-21, West ,Furniture,1.0,$638.78,0.288,5.0,
2024-02-22, North ,Electronics,2.0,"$2,104.79",0.095,3.5,
2024-02-23, South ,Furniture,16.0,"$9,130.90",0.094,2.8,
2024-02-24, East ,Furniture,20.0,"$10,730.86",0.23,4.1,
2024-02-25, West ,Furniture,5.0,"$2,933.95",0.192,3.5,
2024-02-26, North ,Apparel,3.0,$997.95,0.19,4.3,
2024-02-27, South ,Grocery,20.0,"$1,898.97",0.217,3.6,
2024-02-28, East ,Furniture,22.0,"$11,983.42",0.008,4.3,
2024-02-29, West ,Grocery,6.0,$701.43,0.283,4.0,
2024-03-01, North ,Electronics,7.0,"$7,738.01",0.197,4.5,
2024-03-02, South ,Grocery,10.0,$870.56,0.199,,
2024-03-03, East ,Grocery,,"$1,195.35",0.162,2.9,
2024-03-04, West ,Grocery,6.0,$637.45,0.137,4.9,
2024-03-05, North ,Furniture,19.0,"$14,700.61",0.09,4.8,
2024-03-06, South ,Electronics,19.0,"$12,390.09",0.04,4.1,
2024-03-07, East ,Grocery,2.0,$292.96,0.081,3.5,
2024-03-08, West ,Apparel,20.0,"$4,977.85",0.056,3.3,
2024-03-09, North ,Electronics,22.0,"$23,516.20",0.213,5.1,
2024-03-10, South ,Grocery,18.0,"$2,039.04",0.248,4.3,
2024-03-11, East ,Furniture,9.0,"$4,681.63",0.156,4.1,
2024-03-12, West ,Apparel,5.0,"$1,076.46",0.161,4.8,
2024-03-13, North ,Grocery,22.0,"$2,805.98",0.055,3.8,
2024-03-14, South ,Furniture,16.0,"$8,881.26",0.299,4.7,
2024-03-15, East ,Apparel,21.0,"$6,123.54",0.119,4.2,
2024-03-16, West ,Electronics,5.0,"$4,718.74",0.227,5.0,
2024-03-17, North ,Electronics,11.0,"$11,771.99",0.126,3.7,
2024-03-18, South ,Furniture,21.0,"$10,891.51",0.116,3.9,
2024-03-19, East ,Electronics,18.0,"$16,203.46",0.249,3.9,
2024-03-20, West ,Furniture,10.0,"$4,874.22",0.228,3.1,
2024-03-21, North ,Electronics,4.0,"$4,882.82",0.248,3.6,
2024-03-22, South ,Furniture,3.0,"$1,280.19",0.296,3.9,
2024-03-23, East ,Grocery,14.0,"$1,726.09",0.225,3.5,
2024-03-24, West ,Furniture,22.0,"$11,121.45",0.231,4.0,
2024-03-25, North ,Furniture,12.0,"$7,317.21",0.094,3.4,
2024-03-26, South ,Furniture,18.0,"$9,014.82",0.017,5.0,
2024-03-27, East ,Furniture,22.0,"$16,168.10",0.074,4.0,
2024-03-28, West ,Grocery,6.0,$581.37,0.01,4.1,
2024-03-29, North ,Apparel,3.0,$816.11,0.258,3.6,
2024-03-30, South ,Apparel,5.0,"$1,134.69",0.08,4.2,
2024-03-31, East ,Apparel,7.0,"$1,849.38",0.189,4.2,
2024-04-01, West ,Apparel,10.0,"$2,651.27",0.262,4.5,
2024-04-02, North ,Furniture,4.0,"$2,535.83",0.294,2.9,
2024-04-03, South ,Electronics,6.0,"$5,452.75",0.062,4.0,
2024-04-04, East ,Furniture,12.0,"$8,814.83",0.012,4.5,
2024-04-05, West ,Furniture,15.0,"$7,067.08",0.071,3.4,
2024-04-06, North ,Apparel,22.0,"$7,592.64",0.249,4.2,
2024-04-07, South ,Apparel,17.0,"$4,117.81",0.204,4.8,
2024-04-08, East ,Furniture,8.0,"$4,369.96",0.227,3.9,
2024-04-09, West ,Furniture,23.0,"$13,616.80",0.099,4.6,
2024-04-10, North ,Grocery,4.0,$603.47,0.027,3.1,
2024-04-11, South ,Furniture,,"$8,007.27",0.085,3.9,
2024-04-12, East ,Furniture,17.0,"$11,325.53",0.285,3.5,
2024-04-13, West ,Electronics,10.0,"$9,207.05",0.251,4.9,
2024-04-14, North ,Furniture,17.0,"$11,266.09",0.166,,
2024-04-15, South ,Electronics,2.0,"$1,669.44",0.005,5.1,
2024-04-16, East ,Apparel,12.0,"$3,035.43",0.216,3.9,
2024-04-17, West ,Apparel,18.0,"$3,564.94",0.169,4.3,
2024-04-18, North ,Electronics,23.0,"$21,109.92",0.136,4.1,
2024-04-19, South ,Electronics,14.0,"$8,885.71",0.178,3.5,
2024-04-20, East ,Electronics,5.0,"$5,440.73",0.059,3.2,
2024-04-21, West ,Apparel,19.0,"$4,886.70",0.166,,
2024-04-22, North ,Electronics,12.0,"$14,150.08",0.246,4.3,
2024-04-23, South ,Grocery,16.0,"$1,570.72",0.167,4.0,
2024-04-24, East ,Electronics,18.0,"$16,196.45",0.14,4.0,
2024-04-25, West ,Apparel,13.0,"$2,887.47",0.248,4.1,
2024-04-26, North ,Furniture,21.0,"$17,547.01",0.134,3.0,
2024-04-27, South ,Apparel,1.0,$203.13,0.258,3.2,
2024-04-28, East ,Furniture,14.0,"$9,401.20",0.203,4.3,
2024-04-29, West ,Furniture,11.0,"$5,476.18",0.088,3.6,
2024-04-30, North ,Electronics,11.0,"$14,845.34",0.106,3.4,
2024-05-01, South ,Apparel,9.0,"$1,974.79",0.284,4.2,
2024-05-02, East ,Apparel,10.0,"$2,380.25",0.265,5.2,
2024-05-03, West ,Apparel,17.0,"$3,348.37",0.26,3.3,
2024-05-04, North ,Grocery,12.0,"$1,582.58",0.126,4.6,
2024-05-05, South ,Furniture,20.0,"$10,092.58",0.23,4.9,
2024-05-06, East ,Apparel,9.0,"$2,405.87",0.06,4.7,
2024-05-07, West ,Grocery,17.0,"$2,147.70",0.017,3.5,
2024-05-08, North ,Grocery,20.0,"$2,934.23",0.019,3.6,
2024-05-09, South ,Grocery,6.0,$647.09,0.113,4.0,
2024-05-10, East ,Apparel,7.0,"$1,820.25",0.157,,
2024-05-11, West ,Electronics,5.0,"$5,065.11",0.087,3.6,
2024-05-12, North ,Electronics,7.0,"$6,512.55",0.127,4.1,
2024-05-13, South ,Furniture,18.0,"$8,062.14",0.041,4.3,
2024-05-14, East ,Apparel,19.0,"$4,963.72",0.277,4.0,
2024-05-15, West ,Grocery,15.0,"$1,893.10",0.225,3.3,
2024-05-16, North ,Electronics,7.0,"$7,678.51",0.147,3.9,
2024-05-17, South ,Furniture,11.0,"$5,923.76",0.041,4.0,
2024-05-18, East ,Furniture,5.0,"$2,877.00",0.289,3.9,
2024-05-19, West ,Electronics,5.0,"$3,702.23",0.142,4.2,
2024-05-20, North ,Electronics,11.0,"$10,706.47",0.081,3.8,
2024-05-21, South ,Grocery,5.0,$533.89,0.122,4.2,
2024-05-22, East ,Furniture,,"$10,891.01",0.277,3.9,
2024-05-23, West ,Grocery,17.0,"$1,588.73",0.199,3.2,
2024-05-24, North ,Furniture,19.0,"$12,618.84",0.286,4.2,
2024-05-25, South ,Electronics,3.0,"$2,125.36",0.01,2.6,
2024-05-26, East ,Grocery,22.0,"$3,315.10",0.184,3.7,
2024-05-27, West ,Apparel,17.0,"$4,150.79",0.286,5.1,
2024-05-28, North ,Apparel,9.0,"$2,826.99",0.006,3.3,
2024-05-29, South ,Furniture,17.0,"$8,396.21",0.255,,
2024-05-30, East ,Electronics,9.0,"$7,067.65",0.04,,
2024-05-31, West ,Furniture,8.0,"$4,464.27",0.278,3.9,
2024-06-01, North ,Furniture,22.0,"$17,691.05",0.256,4.4,
2024-06-02, South ,Furniture,1.0,$568.54,0.074,3.9,
2024-06-03, East ,Electronics,20.0,"$20,308.64",0.064,3.9,
2024-06-04, West ,Apparel,23.0,"$4,956.76",0.211,4.1,
2024-06-05, North ,Furniture,20.0,"$12,705.54",0.155,,
2024-06-06, South ,Grocery,14.0,"$1,625.99",0.025,4.3,
2024-06-07, East ,Grocery,19.0,"$2,497.51",0.094,4.1,
2024-06-08, West ,Furniture,11.0,"$7,178.79",0.088,4.1,
2024-06-09, North ,Apparel,16.0,"$5,480.86",0.113,5.0,
2024-06-10, South ,Electronics,17.0,"$12,419.72",0.008,4.6,
2024-06-11, East ,Grocery,18.0,"$2,000.14",0.219,4.3,
2024-06-12, West ,Apparel,12.0,"$3,260.27",0.134,4.4,
2024-06-13, North ,Grocery,8.0,$996.97,0.066,4.0,
2024-06-14, South ,Electronics,5.0,"$3,156.49",0.14,4.2,
2024-06-15, East ,Furniture,18.0,"$13,256.59",0.082,3.5,
2024-06-16, West ,Grocery,13.0,"$1,230.12",0.037,4.2,
2024-06-17, North ,Apparel,12.0,"$4,206.91",0.02,4.8,
2024-06-18, South ,Furniture,21.0,"$12,282.51",0.002,4.2,
2024-06-19, East ,Electronics,9.0,"$9,389.66",0.022,4.2,
2024-06-20, West ,Furniture,20.0,"$11,261.18",0.136,3.2,
2024-06-21, North ,Apparel,8.0,"$2,041.72",0.118,4.2,
2024-06-22, South ,Electronics,2.0,"$1,571.53",0.286,3.6,
2024-06-23, East ,Grocery,16.0,"$1,873.77",0.171,,
2024-06-24, West ,Apparel,15.0,"$3,993.96",0.165,4.5,
2024-06-25, North ,Furniture,14.0,"$10,461.93",0.05,5.6,
2024-06-26, South ,Apparel,20.0,"$3,629.65",0.163,5.3,
2024-06-27, East ,Furniture,10.0,"$5,720.52",0.112,4.4,
2024-06-28, West ,Furniture,17.0,"$9,919.36",0.032,,
2024-06-29, North ,Grocery,23.0,"$2,899.78",0.075,3.7,
2024-06-30, South ,Grocery,21.0,"$2,493.53",0.013,4.5,
2024-07-01, East ,Grocery,5.0,$622.32,0.276,3.7,
2024-07-02, West ,Apparel,5.0,"$1,181.34",0.157,2.7,
2024-07-03, North ,Furniture,11.0,"$7,065.75",0.106,5.3,
2024-07-04, South ,Apparel,19.0,"$3,417.90",0.242,3.4,
2024-07-05, East ,Apparel,19.0,"$4,015.38",0.261,4.3,
2024-07-06, West ,Furniture,11.0,"$6,675.68",0.152,3.9,
2024-07-07, North ,Furniture,4.0,"$2,741.44",0.016,3.1,
2024-07-08, South ,Apparel,4.0,$838.03,0.107,4.9,
2024-07-09, East ,Grocery,7.0,$717.56,0.099,4.1,
2024-07-10, West ,Apparel,7.0,"$1,599.02",0.226,3.8,
2024-07-11, North ,Electronics,22.0,"$28,888.88",0.093,5.5,
2024-07-12, South ,Furniture,7.0,"$3,055.24",0.131,4.5,
2024-07-13, East ,Apparel,23.0,"$5,182.35",0.214,4.3,
2024-07-14, West ,Apparel,4.0,"$1,129.61",0.209,4.1,
2024-07-15, North ,Electronics,22.0,"$20,820.63",0.028,3.7,
2024-07-16, South ,Electronics,23.0,"$14,308.43",0.275,4.9,
2024-07-17, East ,Apparel,2.0,$539.40,0.138,,
2024-07-18, West ,Furniture,18.0,"$10,993.05",0.299,3.9,
2024-07-19, North ,Apparel,20.0,"$6,027.73",0.235,4.3,
2024-07-20, South ,Electronics,24.0,"$16,641.81",0.136,3.6,
2024-07-21, East ,Furniture,23.0,"$13,753.18",0.282,3.7,
2024-07-22, West ,Grocery,9.0,"$1,131.32",0.141,4.5,
2024-07-23, North ,Electronics,10.0,"$10,947.62",0.042,4.5,
2024-07-24, South ,Apparel,19.0,"$4,141.67",0.202,4.3,
2024-07-25, East ,Grocery,6.0,$675.49,0.083,3.9,
2024-07-26, West ,Grocery,19.0,"$2,056.99",0.097,4.2,
2024-07-27, North ,Apparel,5.0,"$1,316.51",0.209,4.0,
2024-07-28, South ,Furniture,8.0,"$4,302.02",0.01,4.4,
2024-07-29, East ,Apparel,14.0,"$3,312.53",0.104,5.6,
2024-07-30, West ,Apparel,15.0,"$3,069.72",0.212,4.6,
2024-07-31, North ,Grocery,24.0,"$3,171.40",0.076,3.5,
2024-08-01, South ,Electronics,24.0,"$16,792.75",0.182,3.2,
2024-08-02, East ,Furniture,23.0,"$11,837.46",0.156,3.0,
2024-08-03, West ,Furniture,17.0,"$9,053.98",0.098,4.1,
2024-08-04, North ,Furniture,1.0,$765.02,0.023,3.4,
2024-08-05, South ,Apparel,8.0,"$1,407.92",0.009,4.8,
2024-08-06, East ,Apparel,11.0,"$2,546.64",0.213,4.0,
2024-08-07, West ,Grocery,6.0,$810.06,0.269,4.0,
2024-08-08, North ,Apparel,3.0,$869.27,0.008,3.1,
2024-08-09, South ,Apparel,1.0,$180.72,0.19,4.9,
2024-08-10, East ,Furniture,4.0,"$2,926.03",0.101,4.6,
2024-08-11, West ,Electronics,3.0,"$2,868.62",0.203,4.2,
2024-08-12, North ,Grocery,15.0,"$1,890.34",0.078,4.4,
2024-08-13, South ,Grocery,23.0,"$2,643.60",0.192,3.9,
2024-08-14, East ,Electronics,1.0,"$1,092.69",0.02,4.1,
2024-08-15, West ,Furniture,17.0,"$10,899.87",0.236,4.5,
2024-08-16, North ,Grocery,5.0,$610.59,0.255,,
2024-08-17, South ,Apparel,6.0,"$1,461.70",0.121,4.5,
2024-08-18, East ,Furniture,13.0,"$6,578.76",0.133,3.3,
2024-08-19, West ,Electronics,18.0,"$15,405.83",0.261,4.2,
2024-08-20, North ,Apparel,8.0,"$2,280.38",0.282,4.1,
2024-08-21, South ,Electronics,3.0,"$1,878.12",0.297,4.6,
2024-08-22, East ,Grocery,2.0,$253.13,0.151,4.7,
2024-08-23, West ,Apparel,23.0,"$6,443.07",0.037,4.3,
2024-08-24, North ,Furniture,10.0,"$8,502.08",0.187,4.8,
2024-08-25, South ,Apparel,14.0,"$2,629.97",0.245,4.0,
2024-08-26, East ,Furniture,17.0,"$9,400.55",0.141,4.8,
2024-08-27, West ,Furniture,13.0,"$6,096.80",0.129,3.7,
2024-08-28, North ,Furniture,2.0,"$1,351.59",0.006,3.8,
2024-08-29, South ,Grocery,10.0,"$1,021.51",0.089,3.8,
2024-08-30, East ,Apparel,5.0,"$1,525.99",0.288,4.8,
2024-08-31, West ,Grocery,12.0,"$1,564.78",0.087,4.6,
2024-09-01, North ,Grocery,7.0,"$1,142.39",0.1,2.9,
2024-09-02, South ,Electronics,23.0,"$14,458.34",0.242,4.5,
2024-09-03, East ,Furniture,10.0,"$5,922.69",0.021,,
2024-09-04, West ,Furniture,15.0,"$7,173.76",0.201,3.5,
2024-09-05, North ,Furniture,24.0,"$20,802.54",0.242,4.3,
2024-09-06, South ,Electronics,24.0,"$16,176.80",0.261,4.1,
2024-09-07, East ,Electronics,15.0,"$14,295.81",0.06,4.0,
2024-09-08, West ,Apparel,7.0,"$1,413.71",0.038,4.4,
2024-09-09, North ,Apparel,23.0,"$6,157.87",0.004,4.0,
2024-09-10, South ,Grocery,4.0,$357.18,0.175,3.9,
2024-09-11, East ,Electronics,11.0,"$9,170.94",0.199,4.3,
2024-09-12, West ,Apparel,10.0,"$2,340.24",0.271,5.2,
2024-09-13, North ,Furniture,18.0,"$12,470.59",0.268,4.4,
2024-09-14, South ,Apparel,13.0,"$3,179.32",0.202,3.0,
2024-09-15, East ,Apparel,4.0,"$1,256.11",0.009,3.7,
2024-09-16, West ,Furniture,24.0,"$11,026.66",0.048,3.2,
2024-09-17, North ,Apparel,,$926.99,0.178,3.5,
2024-09-18, South ,Grocery,3.0,$344.06,0.241,3.3,
2024-09-19, East ,Furniture,,"$2,562.25",0.189,4.4,
2024-09-20, West ,Apparel,21.0,"$4,768.14",0.153,3.5,
2024-09-21, North ,Grocery,14.0,"$2,323.82",0.219,4.1,
2024-09-22, South ,Apparel,24.0,"$5,548.67",0.127,4.6,
2024-09-23, East ,Apparel,19.0,"$4,340.49",0.192,3.3,
2024-09-24, West ,Apparel,13.0,"$3,548.40",0.141,3.4,
2024-09-25, North ,Apparel,7.0,"$2,554.45",0.095,3.6,
2024-09-26, South ,Apparel,10.0,"$2,495.11",0.284,3.9,
2024-09-27, East ,Electronics,24.0,"$23,631.98",0.022,2.8,
2024-09-28, West ,Furniture,2.0,"$1,162.30",0.056,5.2,
2024-09-29, North ,Grocery,8.0,"$1,249.06",0.247,4.8,
2024-09-30, South ,Apparel,8.0,"$1,747.39",0.002,3.1,
2024-10-01, East ,Electronics,24.0,"$19,222.10",0.261,3.9,
2024-10-02, West ,Furniture,8.0,"$5,067.37",0.087,4.0,
2024-10-03, North ,Apparel,2.0,$529.75,0.225,3.7,
2024-10-04, South ,Electronics,4.0,"$3,076.44",0.089,3.7,
2024-10-05, East ,Grocery,,"$2,591.72",0.018,5.3,
2024-10-06, West ,Electronics,24.0,"$20,190.02",0.231,5.6,
2024-10-07, North ,Furniture,21.0,"$16,266.93",0.266,4.0,
2024-10-08, South ,Electronics,21.0,"$13,220.18",0.215,4.5,
2024-10-09, East ,Furniture,7.0,"$4,100.92",0.177,4.1,
2024-10-10, West ,Electronics,23.0,"$15,832.04",0.058,4.3,
2024-10-11, North ,Apparel,,"$6,374.77",0.154,4.0,
2024-10-12, South ,Electronics,16.0,"$11,211.13",0.026,4.9,
2024-10-13, East ,Furniture,22.0,"$14,404.09",0.016,3.7,
2024-10-14, West ,Furniture,10.0,"$5,887.93",0.176,3.6,
2024-10-15, North ,Grocery,9.0,"$1,300.37",0.184,4.1,
2024-10-16, South ,Electronics,17.0,"$12,853.55",0.244,,
2024-10-17, East ,Electronics,24.0,"$20,706.83",0.038,3.8,
2024-10-18, West ,Apparel,8.0,"$2,164.02",0.183,4.2,
2024-10-19, North ,Apparel,3.0,"$1,044.87",0.02,3.5,
2024-10-20, South ,Apparel,22.0,"$4,306.55",0.038,4.2,
2024-10-21, East ,Grocery,12.0,"$1,285.12",0.15,3.6,
2024-10-22, West ,Apparel,10.0,"$2,508.23",0.275,,
2024-10-23, North ,Electronics,,"$4,459.20",0.148,3.5,
2024-10-24, South ,Apparel,3.0,$640.25,0.274,,
2024-10-25, East ,Apparel,7.0,"$1,878.61",0.096,3.9,
2024-10-26, West ,Electronics,3.0,"$2,264.08",0.025,2.8,
2024-10-27, North ,Electronics,8.0,"$10,440.61",0.268,3.6,
2024-10-28, South ,Electronics,7.0,"$4,285.41",0.116,3.0,
2024-10-29, East ,Furniture,19.0,"$9,861.65",0.211,4.2,
2024-10-30, West ,Grocery,24.0,"$2,972.38",0.259,4.7,
2024-10-31, North ,Apparel,9.0,"$2,361.42",0.218,4.0,
2024-11-01, South ,Grocery,10.0,"$1,222.26",0.168,4.2,
2024-11-02, East ,Apparel,23.0,"$5,515.96",0.3,3.8,
2024-11-03, West ,Electronics,9.0,"$7,163.24",0.038,4.6,
2024-11-04, North ,Furniture,5.0,"$3,013.47",0.267,3.6,
2024-11-05, South ,Furniture,17.0,"$9,478.53",0.013,4.5,
2024-11-06, East ,Grocery,12.0,"$1,240.00",0.151,3.2,
2024-11-07, West ,Apparel,16.0,"$3,977.30",0.014,4.9,
2024-11-08, North ,Electronics,22.0,"$21,019.88",0.16,4.9,
2024-11-09, South ,Apparel,23.0,"$4,245.41",0.123,4.3,
2024-11-10, East ,Grocery,18.0,"$2,664.86",0.221,4.8,
2024-11-11, West ,Apparel,2.0,$514.41,0.292,4.0,
2024-11-12, North ,Furniture,19.0,"$12,404.01",0.138,3.9,
2024-11-13, South ,Grocery,15.0,"$1,829.60",0.206,4.2,
2024-11-14, East ,Grocery,18.0,"$2,237.82",0.124,2.6,
2024-11-15, West ,Electronics,12.0,"$9,361.97",0.073,4.2,
2024-11-16, North ,Furniture,11.0,"$7,567.76",0.251,5.3,
2024-11-17, South ,Electronics,9.0,"$7,213.12",0.271,4.4,
2024-11-18, East ,Electronics,14.0,"$12,931.31",0.195,3.5,
2024-11-19, West ,Apparel,4.0,"$1,126.85",0.2,4.3,
2024-11-20, North ,Electronics,16.0,"$20,666.28",0.098,4.9,
2024-11-21, South ,Furniture,7.0,"$3,582.36",0.204,4.6,
2024-11-22, East ,Grocery,2.0,$281.33,0.243,3.8,
2024-11-23, West ,Electronics,8.0,"$7,272.76",0.025,4.4,
2024-11-24, North ,Apparel,14.0,"$4,580.11",0.134,3.2,
2024-11-25, South ,Apparel,18.0,"$3,770.12",0.224,3.6,
2024-11-26, East ,Electronics,3.0,"$2,883.15",0.187,4.7,
2024-11-27, West ,Grocery,22.0,"$2,063.73",0.232,4.2,
2024-11-28, North ,Grocery,17.0,"$2,427.07",0.097,3.1,
2024-11-29, South ,Furniture,13.0,"$7,145.77",0.191,4.6,
2024-11-30, East ,Apparel,10.0,"$2,811.21",0.104,4.8,
2024-12-01, West ,Electronics,12.0,"$10,517.73",0.005,2.5,
2024-12-02, North ,Apparel,6.0,"$1,789.36",0.022,4.3,
2024-12-03, South ,Apparel,22.0,"$4,403.10",0.032,5.2,
2024-12-04, East ,Grocery,4.0,$582.95,0.037,4.6,
2024-12-05, West ,Furniture,12.0,"$5,794.50",0.096,4.4,
2024-12-06, North ,Furniture,18.0,"$16,125.88",0.109,4.0,
2024-12-07, South ,Grocery,4.0,$421.04,0.13,4.3,
2024-12-08, East ,Furniture,20.0,"$13,841.97",0.04,3.7,
2024-12-09, West ,Electronics,20.0,"$20,468.23",0.183,3.0,
2024-12-10, North ,Grocery,24.0,"$3,946.39",0.193,4.3,
2024-12-11, South ,Grocery,9.0,$963.37,0.278,4.6,
2024-12-12, East ,Furniture,10.0,"$5,096.04",0.209,3.9,
2024-12-13, West ,Apparel,,"$4,243.94",0.198,4.3,
2024-12-14, North ,Electronics,12.0,"$11,818.47",0.121,4.4,
2024-12-15, South ,Apparel,5.0,$888.27,0.139,3.0,
2024-12-16, East ,Electronics,20.0,"$21,298.38",0.284,2.8,
2024-12-17, West ,Electronics,16.0,"$11,967.55",0.247,2.8,
2024-12-18, North ,Electronics,18.0,"$21,849.21",0.249,4.8,
2024-12-19, South ,Grocery,17.0,"$1,746.00",0.101,4.5,
2024-12-20, East ,Apparel,4.0,"$1,046.44",0.111,4.5,
2024-12-21, West ,Furniture,21.0,"$12,839.08",0.204,5.1,
2024-12-22, North ,Furniture,6.0,"$4,514.21",0.028,4.0,
2024-12-23, South ,Electronics,23.0,"$14,680.71",0.227,3.5,
2024-12-24, East ,Grocery,13.0,"$1,832.99",0.132,4.9,
2024-12-25, West ,Furniture,13.0,"$6,505.22",0.092,3.9,
2024-12-26, North ,Furniture,24.0,"$16,813.17",0.069,3.3,
2024-12-27, South ,Furniture,4.0,"$2,420.09",0.256,4.2,
2024-12-28, East ,Apparel,11.0,"$2,537.81",0.032,5.0,
2024-12-29, West ,Grocery,9.0,$987.89,0.277,4.5,
2024-12-30, North ,Furniture,4.0,"$3,064.28",0.048,4.3,
2024-12-31, South ,Apparel,23.0,"$4,570.50",0.057,3.1,
2025-01-01, East ,Grocery,16.0,"$1,984.67",0.004,3.5,
2025-01-02, West ,Grocery,7.0,$887.55,0.147,3.6,
2025-01-03, North ,Electronics,11.0,"$13,246.11",0.297,4.6,
2025-01-04, South ,Furniture,2.0,"$1,017.88",0.07,5.0,
2025-01-05, East ,Furniture,5.0,"$2,832.62",0.288,5.0,
2025-01-06, West ,Grocery,21.0,"$2,584.39",0.095,4.2,
2025-01-07, North ,Grocery,11.0,"$1,513.65",0.126,4.2,
2025-01-08, South ,Grocery,2.0,$185.77,0.144,3.7,
2025-01-09, East ,Grocery,16.0,"$2,197.43",0.032,4.9,
2025-01-10, West ,Furniture,8.0,"$4,161.80",0.227,3.5,
2025-01-11, North ,Electronics,17.0,"$15,552.81",0.089,4.6,
2025-01-12, South ,Electronics,23.0,"$18,262.99",0.105,4.3,
2025-01-13, East ,Apparel,16.0,"$4,811.84",0.102,4.6,
2025-01-14, West ,Apparel,1.0,$203.06,0.255,,
2025-01-15, North ,Grocery,9.0,"$1,509.68",0.198,4.5,
2025-01-16, South ,Apparel,10.0,"$2,241.99",0.206,5.1,
2025-01-17, East ,Electronics,5.0,"$5,605.60",0.14,5.0,
2025-01-18, West ,Grocery,13.0,"$1,233.43",0.071,3.4,
2025-01-19, North ,Grocery,5.0,$660.06,0.124,4.6,
2025-01-20, South ,Furniture,9.0,"$5,171.80",0.006,3.6,
2025-01-21, East ,Grocery,20.0,"$2,554.24",0.132,4.2,
2025-01-22, West ,Grocery,14.0,"$1,418.25",0.258,4.8,
2025-01-23, North ,Grocery,8.0,$971.76,0.266,4.4,
2025-01-24, South ,Apparel,16.0,"$3,887.09",0.24,5.9,
2025-01-25, East ,Apparel,12.0,"$3,581.29",0.138,4.0,
2025-01-26, West ,Grocery,12.0,"$1,277.93",0.23,5.0,
